2025/04/26 20:27:30 2025-04-26 20:27:30.722975 +0700 WIB m=+155.822149042~::1~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Content-Length:158 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:27:30.790648 +0700 WIB m=+155.889822251~29.959µs~
2025/04/26 20:27:30 2025-04-26 20:27:30.7231 +0700 WIB m=+155.822274084~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:158 | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:27:30.790722 +0700 WIB m=+155.889896209~2.208µs~
2025/04/26 20:28:44 2025-04-26 20:28:44.673107 +0700 WIB m=+229.772281584~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Ch-Ua-Platform:"macOS" | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:28:44.750052 +0700 WIB m=+229.849226584~7.875µs~
2025/04/26 20:28:44 2025-04-26 20:28:44.673891 +0700 WIB m=+229.773065417~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Content-Length:158 | Sec-Ch-Ua-Mobile:?0 | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:28:44.7498 +0700 WIB m=+229.848974459~138.333µs~
2025/04/26 20:28:44 2025-04-26 20:28:44.672563 +0700 WIB m=+229.771737417~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:28:44.749041 +0700 WIB m=+229.848214959~6.848167ms~
2025/04/26 20:29:07 2025-04-26 20:29:07.455629 +0700 WIB m=+252.554803376~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Connection:keep-alive | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Accept:*/* | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:29:07.469833 +0700 WIB m=+252.569007792~83.583µs~
2025/04/26 20:29:07 2025-04-26 20:29:07.455238 +0700 WIB m=+252.554412834~::1~POST~/api/v1/Category~ "Header=>Content-Length:171 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:62470b7b8d96acec79986b7a5cba7ca2 | Accept:*/* | Sec-Gpc:1 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Mode:cors | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/"~{"UserName":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:29:07.473944 +0700 WIB m=+252.573118251~22.709µs~
2025/04/26 20:29:10 2025-04-26 20:29:10.591298 +0700 WIB m=+255.690472709~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Length:158 | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:29:10.602466 +0700 WIB m=+255.701639834~14.25µs~
2025/04/26 20:29:11 2025-04-26 20:29:11.941905 +0700 WIB m=+257.041079667~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Content-Length:158 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Encoding:gzip, deflate, br, zstd | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:29:11.947606 +0700 WIB m=+257.046780667~13.791µs~
2025/04/26 20:58:20 2025-04-26 20:58:20.443069 +0700 WIB m=+843.573505876~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Gpc:1 | Content-Length:158 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:58:20.492846 +0700 WIB m=+843.623282792~14.416µs~Session Expired
