2026/02/12 11:54:48 2026-02-12 11:54:48.754428 +0700 WIB m=+23695.024139084~192.168.115.191~POST~/api/v1/Obat~ "Header=>Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:143 | Signature:71f89b8511cb67ffc55e9e0c5cfc56c8 | Sec-Gpc:1 | Referer:http://localhost:8335/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"~{"Username":"admin","ParamKey":"MTc3MDg3MjA2OTcyODQxNQ==d5zuFgFz7n52UBfmrElI6oNrbipAtd","Method":"SELECT","NamaObat":"am","Page":1,"RowPage":5}~200~2026-02-12 11:54:48.761965 +0700 WIB m=+23695.031675418~14.334µs~
2026/02/12 11:54:48 2026-02-12 11:54:48.809214 +0700 WIB m=+23695.078924168~192.168.115.191~POST~/api/v1/Obat~ "Header=>Content-Length:144 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:ba563fc487fd3b7ab0364d502f9619d8 | Sec-Gpc:1 | Connection:keep-alive | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg3MjA2OTcyODQxNQ==d5zuFgFz7n52UBfmrElI6oNrbipAtd","Method":"SELECT","NamaObat":"amo","Page":1,"RowPage":5}~200~2026-02-12 11:54:48.819333 +0700 WIB m=+23695.089043959~16.5µs~
2026/02/12 17:11:20 2026-02-12 17:11:20.415412 +0700 WIB m=+42686.685122876~192.168.115.191~POST~/api/v1/Obat~ "Header=>Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Content-Length:175 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Type:application/json | Signature:43e63bdc35475b017fe7e173fa4fcb0d"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Id":"","NamaObat":"","Supplier":"","Status":"","Page":1,"RowPage":5}~200~2026-02-12 17:11:20.435654 +0700 WIB m=+42686.705364834~9.333µs~
2026/02/12 17:13:36 2026-02-12 17:13:35.926035 +0700 WIB m=+42822.195745209~192.168.115.191~POST~/api/v1/Obat~ "Header=>Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Type:application/json | Signature:67a5528347ed04eb4218388e9011cd39 | Accept:*/* | Content-Length:186 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Id":"","NamaObat":"paracetamol","Supplier":"","Status":"","Page":1,"RowPage":5}~200~2026-02-12 17:13:36.005072 +0700 WIB m=+42822.274782793~20.959µs~
2026/02/12 17:13:56 2026-02-12 17:13:56.554395 +0700 WIB m=+42842.824105584~192.168.115.191~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:38b14941aefba7b08c427486e99fa760 | Sec-Gpc:1 | Origin:http://localhost:8335 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:13:56.562589 +0700 WIB m=+42842.832299751~12.875µs~
2026/02/12 17:13:56 2026-02-12 17:13:56.555085 +0700 WIB m=+42842.824795709~192.168.115.191~POST~/api/v1/Obat~ "Header=>Content-Type:application/json | Signature:43e63bdc35475b017fe7e173fa4fcb0d | Accept:*/* | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Connection:keep-alive | Content-Length:175 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Id":"","NamaObat":"","Supplier":"","Status":"","Page":1,"RowPage":5}~200~2026-02-12 17:13:56.565403 +0700 WIB m=+42842.835113626~175.208µs~
2026/02/12 17:18:23 2026-02-12 17:18:23.457965 +0700 WIB m=+43109.727675293~192.168.115.191~POST~/api/v1/Obat~ "Header=>Content-Length:143 | Content-Type:application/json | Origin:http://localhost:8335 | Accept-Encoding:gzip, deflate | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:6be078af0bf683af8a0c41419254ee4f | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Connection:keep-alive"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","NamaObat":"pa","Page":1,"RowPage":5}~200~2026-02-12 17:18:23.515996 +0700 WIB m=+43109.785706084~6.458µs~
2026/02/12 17:18:23 2026-02-12 17:18:23.458875 +0700 WIB m=+43109.728585918~192.168.115.191~POST~/api/v1/Obat~ "Header=>Accept:*/* | Sec-Gpc:1 | Accept-Encoding:gzip, deflate | Content-Length:142 | Signature:611d35b09af1bea831f9e937b372bbe0 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","NamaObat":"p","Page":1,"RowPage":5}~200~2026-02-12 17:18:23.516098 +0700 WIB m=+43109.785808293~2.5µs~
2026/02/12 17:18:23 2026-02-12 17:18:23.516718 +0700 WIB m=+43109.786429001~192.168.115.191~POST~/api/v1/Obat~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:125e14766757d58d36deda2efc088831 | Sec-Gpc:1 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:144 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.5"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","NamaObat":"par","Page":1,"RowPage":5}~200~2026-02-12 17:18:23.525316 +0700 WIB m=+43109.795026876~6.625µs~
2026/02/12 17:18:23 2026-02-12 17:18:23.615466 +0700 WIB m=+43109.885176584~192.168.115.191~POST~/api/v1/Obat~ "Header=>Connection:keep-alive | Content-Type:application/json | Signature:5cddc912226232025c9c1949faccf4f9 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Content-Length:145 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","NamaObat":"para","Page":1,"RowPage":5}~200~2026-02-12 17:18:23.62427 +0700 WIB m=+43109.893980751~13.5µs~
2026/02/12 17:18:23 2026-02-12 17:18:23.764846 +0700 WIB m=+43110.034557043~192.168.115.191~POST~/api/v1/Obat~ "Header=>Connection:keep-alive | Content-Type:application/json | Signature:a44a4809a75fc18c4ddfe76aaf501e99 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Content-Length:146 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Sec-Gpc:1 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","NamaObat":"parac","Page":1,"RowPage":5}~200~2026-02-12 17:18:23.770343 +0700 WIB m=+43110.040053668~13.334µs~
2026/02/12 17:18:23 2026-02-12 17:18:23.879518 +0700 WIB m=+43110.149228209~192.168.115.191~POST~/api/v1/Obat~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:7117762127004e33a832b058e1c4613f | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:8335 | Content-Length:147 | Content-Type:application/json | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","NamaObat":"parace","Page":1,"RowPage":5}~200~2026-02-12 17:18:23.900375 +0700 WIB m=+43110.170085501~13.625µs~
