2025/04/05 09:52:46 2025-04-05 09:52:46.518417 +0700 WIB m=+39304.793789376~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:e6ebc0f84566dc9deb4985cb62cd48ca | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept:*/* | Sec-Fetch-Site:same-site"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 09:52:46.541072 +0700 WIB m=+39304.816443876~7.125µs~
2025/04/05 10:55:17 2025-04-05 10:55:17.427664 +0700 WIB m=+40971.552229751~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Accept:*/* | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 10:55:17.439998 +0700 WIB m=+40971.564563084~14.375µs~
2025/04/05 11:08:36 2025-04-05 11:08:36.373368 +0700 WIB m=+309.610401501~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Accept:*/* | Content-Type:application/json | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:08:36.389316 +0700 WIB m=+309.626349501~18.041µs~
2025/04/05 11:09:48 2025-04-05 11:09:48.677054 +0700 WIB m=+381.914087543~::1~POST~/api/v1/Menu~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Fetch-Mode:cors | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Content-Length:159 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:09:48.683795 +0700 WIB m=+381.920828460~7.042µs~
2025/04/05 11:10:53 2025-04-05 11:10:53.104669 +0700 WIB m=+446.341702626~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:159 | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Accept:*/* | Sec-Gpc:1 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:10:53.113866 +0700 WIB m=+446.350900001~14.75µs~
2025/04/05 11:10:58 2025-04-05 11:10:58.089973 +0700 WIB m=+451.327006543~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Connection:keep-alive | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:10:58.099494 +0700 WIB m=+451.336527251~13µs~
2025/04/05 11:11:02 2025-04-05 11:11:02.092124 +0700 WIB m=+455.329158126~::1~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Sec-Fetch-Mode:cors"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:11:02.103555 +0700 WIB m=+455.340588585~13.625µs~
2025/04/05 11:11:04 2025-04-05 11:11:04.090987 +0700 WIB m=+457.328020751~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:11:04.099165 +0700 WIB m=+457.336198460~9.042µs~
2025/04/05 11:11:08 2025-04-05 11:11:08.0936 +0700 WIB m=+461.330633876~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Connection:keep-alive | Sec-Fetch-Dest:empty | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:11:08.105634 +0700 WIB m=+461.342667793~19.292µs~
2025/04/05 16:48:31 2025-04-05 16:48:31.066361 +0700 WIB m=+6033.459361501~::1~POST~/api/v1/Menu~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Content-Length:159 | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Referer:http://localhost:3000/ | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 16:48:31.130886 +0700 WIB m=+6033.523887210~17.875µs~Session Expired
2025/04/05 16:48:34 2025-04-05 16:48:34.051404 +0700 WIB m=+6036.444404543~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Length:159 | Signature:0ad8fe7619fc5b37a1d419c0cf5ebc9f | Accept:*/* | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg0NjUxMzg3ODgzMw==sQ7y4jxfcSGrqaxSDNpDGB5n1W54SY","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 16:48:34.063156 +0700 WIB m=+6036.456156918~13.125µs~
