2025/04/05 09:52:49 2025-04-05 09:52:49.184755 +0700 WIB m=+39307.460127293~::1~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:3000 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Signature:e6ebc0f84566dc9deb4985cb62cd48ca"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 09:52:49.192221 +0700 WIB m=+39307.467592418~19.792µs~
2025/04/05 09:52:49 2025-04-05 09:52:49.184773 +0700 WIB m=+39307.460144584~::1~POST~/api/v1/Category~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept:*/* | Content-Length:172 | Sec-Ch-Ua-Mobile:?0 | Signature:f9e4db3450414be9be387dffea20f109 | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 09:52:49.197945 +0700 WIB m=+39307.473316501~16µs~
2025/04/05 09:52:49 2025-04-05 09:52:49.185537 +0700 WIB m=+39307.460909168~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Content-Length:256 | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Signature:60b87fc22c6cb07eab054295006c99e1 | Content-Type:application/json | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 09:52:49.22289 +0700 WIB m=+39307.498262001~13.375µs~
2025/04/05 09:53:35 2025-04-05 09:53:35.705626 +0700 WIB m=+39353.980997668~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Signature:e6ebc0f84566dc9deb4985cb62cd48ca | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Content-Length:159 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 09:53:35.719368 +0700 WIB m=+39353.994740209~1.960791ms~
2025/04/05 09:53:35 2025-04-05 09:53:35.705624 +0700 WIB m=+39353.980995543~::1~POST~/api/v1/Category~ "Header=>Connection:keep-alive | Content-Length:172 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Signature:f9e4db3450414be9be387dffea20f109 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 09:53:35.741229 +0700 WIB m=+39354.016600418~8.084µs~
2025/04/05 09:53:35 2025-04-05 09:53:35.705624 +0700 WIB m=+39353.980996168~::1~POST~/api/v1/MasterProduk~ "Header=>Connection:keep-alive | Content-Length:256 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:60b87fc22c6cb07eab054295006c99e1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 09:53:35.771312 +0700 WIB m=+39354.046684168~15.209µs~
2025/04/05 10:55:18 2025-04-05 10:55:18.449002 +0700 WIB m=+40972.573567459~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Site:same-site | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Origin:http://localhost:3000 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 10:55:18.459068 +0700 WIB m=+40972.583633584~22.541µs~
2025/04/05 10:55:18 2025-04-05 10:55:18.449051 +0700 WIB m=+40972.573616126~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Signature:796b110c10a37243a688dcfa7408ef6d | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:172 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 10:55:18.461731 +0700 WIB m=+40972.586296668~17.709µs~
2025/04/05 10:55:18 2025-04-05 10:55:18.449041 +0700 WIB m=+40972.573606709~::1~POST~/api/v1/MasterProduk~ "Header=>Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Ch-Ua-Platform:"macOS" | Accept-Encoding:gzip, deflate, br, zstd | Signature:a839e23c03d330f429008fb63d1fe7aa | Connection:keep-alive | Content-Length:256 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 10:55:18.509882 +0700 WIB m=+40972.634447126~14µs~
2025/04/05 10:56:26 2025-04-05 10:56:26.405264 +0700 WIB m=+41040.529828834~::1~POST~/api/v1/MasterProduk~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Connection:keep-alive | Content-Length:341 | Signature:b920b7851d70f5f44f722b97b2c18e31 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"INSERT","MasterProdukList":[{"produk_id":"8908001158305","nama_produk":"Parfum FOGG Marco 120ml","kategori_produk":"6","harga_beli":35000,"harga_jual":30000,"unit":"","qty":10,"isi":"","tanggal_expired":"","user_input":"admin_gudang"}]}~200~2025-04-05 10:56:26.456662 +0700 WIB m=+41040.581227001~24.833µs~
2025/04/05 10:59:07 2025-04-05 10:59:07.577506 +0700 WIB m=+41201.702071376~::1~POST~/api/v1/MasterProduk~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Content-Length:256 | Signature:a839e23c03d330f429008fb63d1fe7aa | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 10:59:07.665997 +0700 WIB m=+41201.790562043~27.125µs~
