2025/04/28 00:03:23 2025-04-28 00:03:23.81603 +0700 WIB m=+2576.506009959~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Content-Length:171 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:d77d27ddd2d1046da488e22ad5757323 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:23.913403 +0700 WIB m=+2576.603382834~9.333µs~Session Expired
2025/04/28 00:03:23 2025-04-28 00:03:23.873418 +0700 WIB m=+2576.563397584~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:158 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:607c99af879b328103a0e1a34e6f9df9 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"Username":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:23.916194 +0700 WIB m=+2576.606173542~7.166µs~Session Expired
2025/04/28 00:03:23 2025-04-28 00:03:23.870862 +0700 WIB m=+2576.560841542~::1~POST~/api/v1/Category~ "Header=>Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Gpc:1 | Content-Length:171 | Signature:d77d27ddd2d1046da488e22ad5757323 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9"~{"UserName":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:23.917003 +0700 WIB m=+2576.606983084~7.375µs~Session Expired
2025/04/28 00:03:31 2025-04-28 00:03:31.864265 +0700 WIB m=+2584.554244792~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:58886307c6a19706bc23c0626e1c67f2 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Content-Length:158 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors"~{"Username":"admin_super","ParamKey":"MTc0NTc3MzQxMTU3MjU4MQ==y1b3xpoX7gWkXDD6iq7SCmuSa5WmIp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:31.8775 +0700 WIB m=+2584.567480167~7.833µs~
2025/04/28 00:04:33 2025-04-28 00:04:33.464179 +0700 WIB m=+2646.154158792~::1~POST~/api/v1/Menu~ "Header=>Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Accept-Encoding:gzip, deflate, br, zstd | Signature:58886307c6a19706bc23c0626e1c67f2 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"Username":"admin_super","ParamKey":"MTc0NTc3MzQxMTU3MjU4MQ==y1b3xpoX7gWkXDD6iq7SCmuSa5WmIp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:04:33.47983 +0700 WIB m=+2646.169809334~13.25µs~
2025/04/28 00:05:08 2025-04-28 00:05:08.553174 +0700 WIB m=+2681.243154167~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:58886307c6a19706bc23c0626e1c67f2 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_super","ParamKey":"MTc0NTc3MzQxMTU3MjU4MQ==y1b3xpoX7gWkXDD6iq7SCmuSa5WmIp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:05:08.56907 +0700 WIB m=+2681.259049459~16.875µs~
2025/04/28 00:05:10 2025-04-28 00:05:10.893686 +0700 WIB m=+2683.583665834~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:158 | Signature:58886307c6a19706bc23c0626e1c67f2 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site"~{"Username":"admin_super","ParamKey":"MTc0NTc3MzQxMTU3MjU4MQ==y1b3xpoX7gWkXDD6iq7SCmuSa5WmIp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:05:10.90044 +0700 WIB m=+2683.590419417~13.458µs~
2025/04/28 00:07:01 2025-04-28 00:07:01.774017 +0700 WIB m=+2794.463997167~::1~POST~/api/v1/Menu~ "Header=>Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Referer:http://localhost:3000/ | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Signature:58886307c6a19706bc23c0626e1c67f2 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_super","ParamKey":"MTc0NTc3MzQxMTU3MjU4MQ==y1b3xpoX7gWkXDD6iq7SCmuSa5WmIp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:07:01.786408 +0700 WIB m=+2794.476387376~17.625µs~
2025/04/28 00:38:03 2025-04-28 00:38:03.261488 +0700 WIB m=+11.477906251~::1~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:3000/ | Signature:1d40cfcd71615d383803e08260b93db5 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Gpc:1 | Accept:*/* | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_super","ParamKey":"MTc0NTc3NTQ4MzA3MjIwOA==4DzLj3pHmZmwiS1SpZiZqIzyTODcYp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:38:03.278076 +0700 WIB m=+11.494493918~15.542µs~
2025/04/28 01:16:32 2025-04-28 01:16:32.419416 +0700 WIB m=+2320.635834418~::1~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept:*/* | Sec-Fetch-Site:same-site | Signature:1d40cfcd71615d383803e08260b93db5 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Username":"admin_super","ParamKey":"MTc0NTc3NTQ4MzA3MjIwOA==4DzLj3pHmZmwiS1SpZiZqIzyTODcYp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 01:16:32.468617 +0700 WIB m=+2320.685034960~18.625µs~Session Expired
2025/04/28 01:16:55 2025-04-28 01:16:55.563889 +0700 WIB m=+2343.780307043~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Connection:keep-alive | Signature:1d40cfcd71615d383803e08260b93db5 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site"~{"Username":"admin_super","ParamKey":"MTc0NTc3NTQ4MzA3MjIwOA==4DzLj3pHmZmwiS1SpZiZqIzyTODcYp","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 01:16:55.583619 +0700 WIB m=+2343.800037460~277.292µs~Session Expired
