2025/02/15 21:30:43 2025-02-15 21:30:43.011049 +0700 WIB m=+9250.288519376~::1~POST~/api/v1/TempTransaction~ "Header=>Connection:keep-alive | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3001 | Accept-Encoding:gzip, deflate, br, zstd | Signature:8d58ab78f662754053fbee876a6dfe0e | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Length:296 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3001/ | Sec-Ch-Ua-Mobile:?0"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"INSERT","TransactionId":"","TempTransactionList":[{"ProdukId":"8997204440416","NamaProduk":"Roti Alfamart","CategoryProduct":"Makanan","HargaJual":"5000","Quantity":5,"TotalMultiply":25000}]}~200~2025-02-15 21:30:43.097456 +0700 WIB m=+9250.374927251~23.375µs~
2025/02/15 21:31:05 2025-02-15 21:31:05.320732 +0700 WIB m=+9272.598202543~::1~POST~/api/v1/TempTransactionCount~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3001/ | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3001 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:172 | Signature:c1f5dfb98f6fb5d7936658aa88f7fe24 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:05.335833 +0700 WIB m=+9272.613304126~22.333µs~
2025/02/15 21:31:11 2025-02-15 21:31:10.968545 +0700 WIB m=+9278.246015709~::1~POST~/api/v1/TempTransaction~ "Header=>Sec-Gpc:1 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Referer:http://localhost:3001/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3001 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Connection:keep-alive | Content-Length:215 | Signature:96ad1d30853373a2871730917e3a8dcd | Content-Type:application/json | Sec-Fetch-Site:same-site"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","TransactionId":"TRX_TEMP_02152025_213043","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:11.048437 +0700 WIB m=+9278.325908126~19.375µs~
2025/02/15 21:31:18 2025-02-15 21:31:18.594702 +0700 WIB m=+9285.872173126~::1~POST~/api/v1/TempTransactionCount~ "Header=>Origin:http://localhost:3001 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:172 | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3001/ | Signature:c1f5dfb98f6fb5d7936658aa88f7fe24 | Content-Type:application/json"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:18.608381 +0700 WIB m=+9285.885851376~15.167µs~
2025/02/15 21:31:19 2025-02-15 21:31:19.598587 +0700 WIB m=+9286.876057793~::1~POST~/api/v1/TempTransaction~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3001 | Sec-Ch-Ua-Platform:"macOS" | Signature:96ad1d30853373a2871730917e3a8dcd | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Type:application/json | Referer:http://localhost:3001/ | Content-Length:215 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","TransactionId":"TRX_TEMP_02152025_213043","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:19.613176 +0700 WIB m=+9286.890646543~13.292µs~
2025/02/15 21:31:21 2025-02-15 21:31:21.054595 +0700 WIB m=+9288.332065709~::1~POST~/api/v1/TempTransaction~ "Header=>Content-Type:application/json | Origin:http://localhost:3001 | Referer:http://localhost:3001/ | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Platform:"macOS" | Content-Length:297 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:28dfb584a7f8e6d0e741434ef7a33d3e | Sec-Ch-Ua-Mobile:?0"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"INSERT","TransactionId":"TRX_TEMP_02152025_213043","TempTransactionList":[{"ProdukId":"8997204440416","NamaProduk":"Roti Alfamart","KategoriProduk":"Makanan","HargaJual":"5000","Quantity":5}]}~200~2025-02-15 21:31:21.078719 +0700 WIB m=+9288.356189543~18.167µs~
2025/02/15 21:31:27 2025-02-15 21:31:27.810011 +0700 WIB m=+9295.087481459~::1~POST~/api/v1/TempTransactionCount~ "Header=>Content-Length:172 | Referer:http://localhost:3001/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3001 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Signature:c1f5dfb98f6fb5d7936658aa88f7fe24 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:27.820339 +0700 WIB m=+9295.097810293~16.125µs~
2025/02/15 21:31:28 2025-02-15 21:31:28.966554 +0700 WIB m=+9296.244025168~::1~POST~/api/v1/TempTransaction~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3001 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Content-Length:215 | Signature:d0e73f66920345e75c01250b85c86c7b | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3001/"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","TransactionId":"TRX_TEMP_02152025_213121","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:28.981097 +0700 WIB m=+9296.258567709~20.083µs~
2025/02/15 21:31:35 2025-02-15 21:31:35.363166 +0700 WIB m=+9302.640637126~::1~POST~/api/v1/TempTransactionCount~ "Header=>Sec-Fetch-Mode:cors | Referer:http://localhost:3001/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Connection:keep-alive | Signature:c1f5dfb98f6fb5d7936658aa88f7fe24 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:172 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Origin:http://localhost:3001"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:31:35.375421 +0700 WIB m=+9302.652892251~25.375µs~
2025/02/15 21:43:15 2025-02-15 21:43:15.956261 +0700 WIB m=+10003.233731543~::1~POST~/api/v1/TempTransactionCount~ "Header=>Signature:c1f5dfb98f6fb5d7936658aa88f7fe24 | Accept:*/* | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3001 | Sec-Fetch-Mode:cors | Referer:http://localhost:3001/ | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:172 | Sec-Ch-Ua-Platform:"macOS""~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:43:15.97439 +0700 WIB m=+10003.251860626~15.75µs~
2025/02/15 21:43:16 2025-02-15 21:43:16.912232 +0700 WIB m=+10004.189703084~::1~POST~/api/v1/TempTransaction~ "Header=>Connection:keep-alive | Content-Length:215 | Accept:*/* | Sec-Fetch-Mode:cors | Referer:http://localhost:3001/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3001 | Signature:d0e73f66920345e75c01250b85c86c7b | Sec-Gpc:1 | Sec-Fetch-Site:same-site"~{"UserName":"admin_gudang","ParamKey":"MTczOTYyOTQzNDU4NzEyMQ==CZLyEycZflf0X9gF7kQRT6LGI37XwX","Method":"SELECT","TransactionId":"TRX_TEMP_02152025_213121","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-02-15 21:43:16.931085 +0700 WIB m=+10004.208555376~31.875µs~
