2025/05/03 16:33:38 2025-05-03 16:33:38.45762 +0700 WIB m=+68211.288159334~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Dest:empty | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Content-Length:160 | Sec-Ch-Ua-Platform:"macOS" | Signature:4002c85274e1e87855c304e9cfb54d85 | Content-Type:application/json | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_testing","ParamKey":"MTc0NjI1NzUzNTI3MjI1NQ==fo5Qy9Fc8ekXob9fbvQWDpC0WLBOqi","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-03 16:33:38.656708 +0700 WIB m=+68211.487247626~54.625µs~Session Expired
2025/05/03 16:33:38 2025-05-03 16:33:38.458467 +0700 WIB m=+68211.289006126~::1~POST~/api/v1/ListRole~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Signature:e173b727723a4fee4053f3a3fbbe3386 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Dest:empty | Content-Length:164 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000"~{"UserName":"admin_testing","ParamKey":"MTc0NjI1NzUzNTI3MjI1NQ==fo5Qy9Fc8ekXob9fbvQWDpC0WLBOqi","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-03 16:33:38.656996 +0700 WIB m=+68211.487535334~3.833µs~Session Expired
2025/05/03 16:33:38 2025-05-03 16:33:38.458948 +0700 WIB m=+68211.289487126~::1~POST~/api/v1/User~ "Header=>Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:470f6a8e5803bcd431fc673047e4cfbf | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:215"~{"UserName":"admin_testing","ParamKey":"MTc0NjI1NzUzNTI3MjI1NQ==fo5Qy9Fc8ekXob9fbvQWDpC0WLBOqi","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-03 16:33:38.657287 +0700 WIB m=+68211.487826168~12µs~Session Expired
2025/05/03 17:52:37 2025-05-03 17:52:37.062192 +0700 WIB m=+72949.892731209~::1~POST~/api/v1/User~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:134 | Signature:da9434c25db2afd60ae3b692736184e9 | Accept:*/* | Sec-Gpc:1 | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json"~{"Username":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"UPDATE","Id":"4","RoleId":"1"}~200~2025-05-03 17:52:37.081847 +0700 WIB m=+72949.912386709~14.708µs~
2025/05/03 17:52:37 2025-05-03 17:52:37.10771 +0700 WIB m=+72949.938249168~::1~POST~/api/v1/User~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:213 | Sec-Ch-Ua-Platform:"macOS" | Signature:26389cb8c1f46e5a45ec890ae396c33c | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"UserName":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-03 17:52:37.11674 +0700 WIB m=+72949.947279668~13.875µs~
2025/05/03 17:52:48 2025-05-03 17:52:48.675656 +0700 WIB m=+72961.506195334~::1~POST~/api/v1/User~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:26389cb8c1f46e5a45ec890ae396c33c | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Content-Length:213"~{"UserName":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-03 17:52:48.714404 +0700 WIB m=+72961.544943543~16.417µs~
2025/05/03 17:52:53 2025-05-03 17:52:53.307771 +0700 WIB m=+72966.138309751~::1~POST~/api/v1/User~ "Header=>Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:d1a68791339168765ba0bfc5d370faf3 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:134 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"Username":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"UPDATE","Id":"4","RoleId":"2"}~200~2025-05-03 17:52:53.32229 +0700 WIB m=+72966.152829334~15.25µs~
2025/05/03 17:52:53 2025-05-03 17:52:53.346302 +0700 WIB m=+72966.176841543~::1~POST~/api/v1/User~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:213 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Gpc:1 | Signature:26389cb8c1f46e5a45ec890ae396c33c | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-03 17:52:53.355306 +0700 WIB m=+72966.185845543~32.542µs~
2025/05/03 18:16:26 2025-05-03 18:16:26.763092 +0700 WIB m=+74379.593631668~::1~POST~/api/v1/ListRole~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:162 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Referer:http://localhost:3000/ | Signature:b0eaae24d535ed88302a1f13aef2161a | Sec-Gpc:1 | Sec-Fetch-Site:same-site | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors"~{"UserName":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-03 18:16:26.774422 +0700 WIB m=+74379.604961543~13.5µs~
2025/05/03 18:16:26 2025-05-03 18:16:26.76301 +0700 WIB m=+74379.593549709~::1~POST~/api/v1/User~ "Header=>Content-Length:213 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:26389cb8c1f46e5a45ec890ae396c33c | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1"~{"UserName":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-03 18:16:26.791561 +0700 WIB m=+74379.622099834~13.041µs~
2025/05/03 18:16:26 2025-05-03 18:16:26.763091 +0700 WIB m=+74379.593630584~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Signature:486307a44ca0395e6cf8f28c5f5ca506 | Content-Type:application/json | Sec-Fetch-Mode:cors | Origin:http://localhost:3000"~{"Username":"admin_super","ParamKey":"MTc0NjI2OTU0OTQ5Nzg1NQ==bpMaJPIHIMkRkRRK5bQRiuAzZcmaKf","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-03 18:16:26.793516 +0700 WIB m=+74379.624055251~14.667µs~
